Species,CountryofOrigin,HarvestYear,GradingDate,ProcessingMethod,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Moisture,Color,Expiration,CertificationBody
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Guatemala,,"May 31st, 2010",,8.42,8.5,8.42,8.42,8.33,8.42,10,0,,"May 31st, 2011",Specialty Coffee Association
Arabica,Ethiopia,2014,"March 26th, 2015",Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,0.11,Green,"March 25th, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,0.12,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Brazil,2013,"September 3rd, 2013",Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,0.11,Bluish-Green,"September 3rd, 2014",Specialty Coffee Institute of Asia
Arabica,Peru,2012,"September 17th, 2012",Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,0.11,Bluish-Green,"September 17th, 2013",Specialty Coffee Institute of Asia
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,8.25,8.33,8.5,8.42,8.33,8.5,10,0.03,,"September 2nd, 2011",Ethiopia Commodity Exchange
Arabica,Ethiopia,10-Mar,"September 2nd, 2010",,8.67,8.67,8.58,8.42,8.33,8.42,9.33,0.03,,"September 2nd, 2011",Ethiopia Commodity Exchange
Arabica,Ethiopia,2014,"March 30th, 2015",Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,0.1,Green,"March 29th, 2016",METAD Agricultural Development plc
Arabica,Ethiopia,2014,"March 27th, 2015",Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,0.1,,"March 26th, 2016",METAD Agricultural Development plc
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,0,,"March 12th, 2016",Almacaf?
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,0,,"March 12th, 2016",Almacaf?
Arabica,United States (Hawaii),Sept 2009 - April 2010,"May 31st, 2010",,8.33,8.42,8.08,8.25,8.25,8,10,0,,"May 31st, 2011",Specialty Coffee Association
Arabica,Ethiopia,10-Mar,"August 31st, 2010",,8.25,8.33,8.5,8.25,8.58,8.75,9.33,0.05,,"August 31st, 2011",Ethiopia Commodity Exchange
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,0,,"March 12th, 2016",Almacaf?
Arabica,Indonesia,May-August,"May 31st, 2010",,8.33,8.25,7.83,7.75,8.5,8.42,10,0.03,,"May 31st, 2011",Specialty Coffee Association
Arabica,Ethiopia,2009/2010,"June 16th, 2010",,8.17,8.33,8.25,8.33,8.42,8.33,9.33,0.05,,"June 16th, 2011",Ethiopia Commodity Exchange
Arabica,China,2015,"April 7th, 2016",Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,0.1,Green,"April 7th, 2017",Yunnan Coffee Exchange
Arabica,Ethiopia,2014,"March 25th, 2015",Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,0,,"March 24th, 2016",Blossom Valley International
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,0,None,"March 12th, 2016",Almacaf?
Arabica,Costa Rica,2014,"April 2nd, 2014",Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,0.11,Green,"April 2nd, 2015",Specialty Coffee Association
Arabica,Mexico,2012,"July 26th, 2012",Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,0.13,Green,"July 26th, 2013",AMECAFE
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,0,,"March 12th, 2016",Almacaf?
Arabica,Ethiopia,2013,"September 3rd, 2013",Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,0.11,Bluish-Green,"September 3rd, 2014",Specialty Coffee Institute of Asia
Arabica,Brazil,2011,"December 3rd, 2011",Natural / Dry,8.5,8.5,8,8,8,8,10,0.12,Green,"December 2nd, 2012",NUCOFFEE
Arabica,Ethiopia,2009/2010,"June 16th, 2010",,7.83,8.25,8.08,8.17,8.17,8.17,10,0.05,,"June 16th, 2011",Ethiopia Commodity Exchange
Arabica,Uganda,2013,"June 26th, 2014",Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Arabica,Honduras,2016,"May 18th, 2017",,8.17,8.08,8.08,8,8.08,8,10,0.1,Green,"May 18th, 2018",Instituto Hondure?o del Caf?
Arabica,Taiwan,2015,"May 18th, 2016",Pulped natural / honey,8,8,8,8.25,8,8.17,10,0,Green,"May 18th, 2017",Specialty Coffee Association
Arabica,Nicaragua,,"May 18th, 2010",,7.92,8.25,8,8.33,8,8.08,10,0.08,,"May 18th, 2011",Specialty Coffee Association
Arabica,"Tanzania, United Republic Of",2012,"September 3rd, 2013",Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,0.11,Bluish-Green,"September 3rd, 2014",Specialty Coffee Institute of Asia
Arabica,Brazil,2011,"December 3rd, 2011",Natural / Dry,8.5,8.17,8,7.75,8,8,10,0.12,Green,"December 2nd, 2012",NUCOFFEE
Arabica,Costa Rica,2015/2016,"December 3rd, 2015",Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,0,Blue-Green,"December 2nd, 2016",Specialty Coffee Association of Costa Rica
Arabica,Ethiopia,2014,"March 27th, 2015",Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,0.1,Green,"March 26th, 2016",METAD Agricultural Development plc
Arabica,Kenya,2013,"May 30th, 2014",Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,0.12,Blue-Green,"May 30th, 2015",Kenya Coffee Traders Association
Arabica,United States (Hawaii),2012,"April 6th, 2012",Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,0,,"April 6th, 2013",Specialty Coffee Association
Arabica,United States (Hawaii),2010,"January 28th, 2011",,8.25,8.42,8.08,7.75,7.67,7.83,10,0,,"January 28th, 2012",Specialty Coffee Association
Arabica,Ethiopia,2009/2010,"June 17th, 2010",,7.92,7.75,8.08,8.08,8.08,8.17,10,0.1,,"June 17th, 2011",Ethiopia Commodity Exchange
Arabica,United States,2014,"March 13th, 2015",Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,0,,"March 12th, 2016",Almacaf?
Arabica,Thailand,2012,"April 12th, 2012",Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,0.1,Green,"April 12th, 2013",Specialty Coffee Association
Arabica,Brazil,2010,"January 4th, 2011",,8.17,7.92,7.92,7.75,8.33,8,10,0.08,,"January 4th, 2012",Specialty Coffee Association
Arabica,Brazil,2010,"January 4th, 2011",,8.42,7.92,8,7.75,7.92,8,10,0.01,,"January 4th, 2012",Specialty Coffee Association
Arabica,Taiwan,2015,"June 10th, 2015",Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,0.12,Green,"June 9th, 2016",Specialty Coffee Association
Arabica,Kenya,2014,"January 29th, 2015",Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,0.11,Bluish-Green,"January 29th, 2016",Kenya Coffee Traders Association
Arabica,Brazil,2011,"December 3rd, 2011",Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,0.11,Blue-Green,"December 2nd, 2012",NUCOFFEE
Arabica,Uganda,2014,"October 1st, 2014",Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,0,,"October 1st, 2015",Uganda Coffee Development Authority
Arabica,Colombia,2013,"March 20th, 2014",Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,0.12,Green,"March 20th, 2015",Specialty Coffee Association
Arabica,Kenya,2013,"February 6th, 2014",Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,0.11,Green,"February 6th, 2015",Specialty Coffee Association
Arabica,Uganda,2012,"February 13th, 2012",Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,0.1,Blue-Green,"February 12th, 2013",Africa Fine Coffee Association
Arabica,Ethiopia,2009/2010,"June 17th, 2010",,7.75,8.08,8,8.25,8,8,10,0.01,,"June 17th, 2011",Ethiopia Commodity Exchange
Arabica,United States (Hawaii),Fall 2009,"May 31st, 2010",,8.33,8.17,7.75,8,7.75,7.83,10,0,,"May 31st, 2011",Specialty Coffee Association
Arabica,Guatemala,2016,"May 16th, 2016",Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,0.1,Green,"May 16th, 2017",Asociacion Nacional Del Caf?
Arabica,Uganda,2013,"June 30th, 2014",Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,0.12,Green,"June 30th, 2015",Uganda Coffee Development Authority
Arabica,Colombia,2013,"July 26th, 2013",Washed / Wet,8,8,8,8.17,7.83,8,10,0,Blue-Green,"July 26th, 2014",Almacaf?
Arabica,Panama,2017,"October 9th, 2017",Washed / Wet,8,8,7.92,8.08,7.83,8,10,0.08,Bluish-Green,"October 9th, 2018",Specialty Coffee Association of Costa Rica
Arabica,Ethiopia,2014,"April 4th, 2015",Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,0.1,Green,"April 3rd, 2016",METAD Agricultural Development plc
Arabica,Guatemala,2012,"July 3rd, 2012",Washed / Wet,7.83,8,8,8.17,7.83,8,10,0.12,Green,"July 3rd, 2013",Asociacion Nacional Del Caf?
Arabica,Guatemala,2012,"June 5th, 2012",Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,0.1,Bluish-Green,"June 5th, 2013",Asociacion Nacional Del Caf?
Arabica,Ethiopia,2017,"June 23rd, 2017",Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,0.09,None,"June 23rd, 2018",METAD Agricultural Development plc
Arabica,Peru,2013,"January 22nd, 2014",Washed / Wet,8,8,8,8.08,7.92,7.75,10,0.1,Green,"January 22nd, 2015",Specialty Coffee Association
Arabica,Papua New Guinea,2012,"October 25th, 2012",Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,0.12,Bluish-Green,"October 25th, 2013",Specialty Coffee Association
Arabica,El Salvador,2013,"March 18th, 2013",Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,0.1,Blue-Green,"March 18th, 2014",Specialty Coffee Association
Arabica,El Salvador,2012,"January 12th, 2013",Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,0.11,None,"January 12th, 2014",Specialty Coffee Association
Arabica,United States (Hawaii),2012,"April 6th, 2012",Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,0,,"April 6th, 2013",Specialty Coffee Association
Arabica,Panama,2014,"May 23rd, 2015",Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,0.09,,"May 22nd, 2016",Blossom Valley International
Arabica,Kenya,2014,"May 23rd, 2015",Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,0.1,Green,"May 22nd, 2016",Blossom Valley International
Arabica,Ethiopia,2015,"March 31st, 2015",Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,0.12,Green,"March 30th, 2016",METAD Agricultural Development plc
Arabica,Uganda,2013,"June 26th, 2014",Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Arabica,Guatemala,2013,"February 26th, 2013",Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,0.11,Green,"February 26th, 2014",Asociacion Nacional Del Caf?
Arabica,Ethiopia,2015,"March 31st, 2015",Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,0.1,Green,"March 30th, 2016",METAD Agricultural Development plc
Arabica,Uganda,2013,"June 26th, 2014",Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Arabica,United States (Hawaii),2012,"April 6th, 2012",Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,0,,"April 6th, 2013",Specialty Coffee Association
Arabica,Brazil,2011,"December 3rd, 2011",Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,0.11,Blue-Green,"December 2nd, 2012",NUCOFFEE
Arabica,El Salvador,2009 / 2010,"May 31st, 2010",,8.08,7.83,7.83,8.08,7.83,7.83,10,0.01,,"May 31st, 2011",Specialty Coffee Association
Arabica,China,2015,"April 6th, 2016",Natural / Dry,8,8,8,7.83,7.83,7.75,10,0.1,Green,"April 6th, 2017",Yunnan Coffee Exchange
Arabica,Guatemala,2014,"May 23rd, 2015",Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,0.11,Green,"May 22nd, 2016",Blossom Valley International
Arabica,Costa Rica,2014,"May 1st, 2014",Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,0,Bluish-Green,"May 1st, 2015",Specialty Coffee Association
Arabica,Costa Rica,2014,"May 1st, 2014",Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,0.1,Bluish-Green,"May 1st, 2015",Specialty Coffee Association
Arabica,Kenya,2012,"April 19th, 2013",Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,0,Green,"April 19th, 2014",Kenya Coffee Traders Association
Arabica,Kenya,2012,"March 12th, 2013",Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,0,Green,"March 12th, 2014",Kenya Coffee Traders Association
Arabica,Ethiopia,2009/2010,"June 17th, 2010",,7.83,7.83,7.92,8.08,7.75,7.83,10,0.05,,"June 17th, 2011",Ethiopia Commodity Exchange
Arabica,Ethiopia,2009/2010,"June 17th, 2010",,7.92,7.83,7.75,8.33,7.75,7.75,10,0.1,,"June 17th, 2011",Ethiopia Commodity Exchange
Arabica,Guatemala,2016,"April 27th, 2016",,8,7.92,7.75,8,7.92,7.83,10,0.1,Green,"April 27th, 2017",Asociacion Nacional Del Caf?
Arabica,Colombia,2015,"April 8th, 2015",Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,0.11,Green,"April 7th, 2016",Almacaf?
Arabica,Colombia,2014,"January 17th, 2014",Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,0.12,Green,"January 17th, 2015",Almacaf?
Arabica,Indonesia,2012,"November 26th, 2012",Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,0.11,Green,"November 26th, 2013",Specialty Coffee Association
Arabica,Guatemala,2012,"January 18th, 2012",Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,0,,"January 17th, 2013",Specialty Coffee Association
Arabica,Ethiopia,2016,"August 9th, 2016",Natural / Dry,7.75,8,7.58,8,8,7.92,10,0.11,Green,"August 9th, 2017",METAD Agricultural Development plc
Arabica,Colombia,2015,"August 18th, 2015",Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,0,,"August 17th, 2016",Almacaf?
Arabica,Ethiopia,2014,"October 7th, 2014",Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,0.1,Green,"October 7th, 2015",Specialty Coffee Association
Arabica,United States (Hawaii),2014,"March 10th, 2014",Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,0.11,Bluish-Green,"March 10th, 2015",Specialty Coffee Association
Arabica,Colombia,2012,"March 16th, 2012",Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,0.11,Green,"March 16th, 2013",Almacaf?
Arabica,United States (Hawaii),2010-2011,"December 27th, 2010",,8.08,8.17,7.92,8,8.08,8,9.33,0.01,,"December 27th, 2011",Specialty Coffee Association
Arabica,Ethiopia,2010,"June 17th, 2010",,7.67,8,7.83,8,7.92,7.83,10,0,,"June 17th, 2011",Ethiopia Commodity Exchange
Arabica,United States (Hawaii),,"May 17th, 2010",,7.5,7.92,8.25,7.83,7.92,7.75,10,0,,"May 17th, 2011",Specialty Coffee Association
Arabica,Uganda,2016,"July 24th, 2017",Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,0.11,Green,"July 24th, 2018",Uganda Coffee Development Authority
Arabica,Colombia,2016,"February 15th, 2017",Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,0,Green,"February 15th, 2018",Almacaf?
Arabica,Costa Rica,2016,"January 30th, 2017",Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,0.12,Green,"January 30th, 2018",Specialty Coffee Association
Arabica,Mexico,2015,"September 21st, 2016",Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,0.09,Green,"September 21st, 2017",Centro Agroecol?gico del Caf? A.C.
Robusta,Uganda,2013,"June 26th, 2014",,7.83,8.08,7.75,7.92,8,8.25,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Robusta,India,2017,"October 31st, 2017",Washed / Wet,8,7.75,7.92,8,8,7.92,10,0,,"October 31st, 2018",Specialty Coffee Association
Robusta,India,2015,"April 30th, 2015",,7.92,7.83,7.92,8,7.83,7.83,10,0,Green,"April 29th, 2016",Specialty Coffee Association
Robusta,Uganda,2013,"July 14th, 2014",,8,7.92,7.92,7.75,7.75,7.83,10,0.12,Green,"July 14th, 2015",Uganda Coffee Development Authority
Robusta,Uganda,2013,"June 26th, 2014",,8.33,7.83,7.83,7.75,7.58,8.25,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Robusta,India,2012,"February 29th, 2012",,8,7.92,7.67,8,7.75,7.75,10,0,Green,"February 28th, 2013",Specialty Coffee Association
Robusta,India,2014,"May 15th, 2014",,7.67,7.75,7.83,7.83,8,7.92,10,0,Green,"May 15th, 2015",Specialty Coffee Association
Robusta,India,2017,"October 25th, 2017",Washed / Wet,7.67,7.75,7.83,7.67,7.92,7.92,10,0.1,Bluish-Green,"October 25th, 2018",Specialty Coffee Association
Robusta,India,2015,"August 17th, 2016",Washed / Wet,7.67,7.75,7.58,7.83,7.92,7.83,10,0.09,Green,"August 17th, 2017",Specialty Coffee Association
Robusta,Uganda,2014,"August 5th, 2014",,7.67,7.83,7.83,7.83,7.75,7.92,10,0.12,Green,"August 5th, 2015",Uganda Coffee Development Authority
Robusta,Uganda,2014,"June 26th, 2014",,7.58,7.92,7.75,7.83,7.67,7.5,10,0.12,Green,"June 26th, 2015",Uganda Coffee Development Authority
Robusta,India,2015,"August 23rd, 2016",Natural / Dry,7.67,7.83,7.75,7.5,7.75,7.75,10,0.11,Green,"August 23rd, 2017",Specialty Coffee Association
Robusta,India,2014,"May 19th, 2014",,7.58,7.58,7.67,7.58,7.5,7.67,10,0,Green,"May 19th, 2015",Specialty Coffee Association
Robusta,Uganda,2013,"July 14th, 2014",,8,7.75,7.75,7.58,7.58,7.67,10,0.11,Green,"July 14th, 2015",Uganda Coffee Development Authority
Robusta,Uganda,2014,"July 14th, 2014",,8,7.67,7.75,7.5,7.58,7.67,10,0.12,Green,"July 14th, 2015",Uganda Coffee Development Authority
Robusta,India,2015,"April 30th, 2015",,7.75,7.75,7.67,7.67,7.58,7.58,10,0,Green,"April 29th, 2016",Specialty Coffee Association
Robusta,India,2013,"June 3rd, 2013",Natural / Dry,7.5,7.5,7.25,7.83,7.83,7.67,10,0.13,Blue-Green,"June 3rd, 2014",Specialty Coffee Association
Robusta,Uganda,2013,"June 27th, 2014",,7.33,7.58,7.5,7.75,7.75,7.75,10,0.12,Green,"June 27th, 2015",Uganda Coffee Development Authority
Robusta,Uganda,2013,"June 27th, 2014",,7.83,7.58,7.33,7.67,7.75,7.5,10,0.12,Green,"June 27th, 2015",Uganda Coffee Development Authority
Robusta,Uganda,2013,"June 27th, 2014",,7.75,7.42,7.33,7.58,7.67,7.67,10,0.12,Green,"June 27th, 2015",Uganda Coffee Development Authority
Robusta,India,2014,"May 19th, 2014",,7.67,7.67,7.5,7.33,7.42,7.58,10,0,Bluish-Green,"May 19th, 2015",Specialty Coffee Association
Robusta,India,2013,"June 20th, 2013",Natural / Dry,7.58,7.42,7.42,7.83,7.42,7.42,10,0,Green,"June 20th, 2014",Specialty Coffee Association
Robusta,United States,2012,"February 29th, 2012",Natural / Dry,7.92,7.5,7.42,7.42,7.58,7.42,9.33,0,Green,"February 28th, 2013",Specialty Coffee Association
Robusta,Ecuador,2016,"January 19th, 2016",,7.75,7.58,7.33,7.58,7.75,5.08,10,0,Blue-Green,"January 18th, 2017",Specialty Coffee Association
Robusta,Ecuador,2016,"January 19th, 2016",,7.5,7.67,7.75,7.75,8.42,5.17,10,0,Blue-Green,"January 18th, 2017",Specialty Coffee Association
Robusta,United States,2014,"December 23rd, 2014",Natural / Dry,7.33,7.33,7.17,7.42,7.42,7.5,9.33,0,,"December 23rd, 2015",Specialty Coffee Association
Robusta,India,2013,"August 25th, 2014",Natural / Dry,7.42,6.83,6.75,7.17,7.08,7.25,9.33,0.1,Green,"August 25th, 2015",Specialty Coffee Association
Robusta,Vietnam,2013,"August 25th, 2014",Natural / Dry,6.75,6.67,6.5,6.83,6.67,6.92,9.33,0.12,None,"August 25th, 2015",Specialty Coffee Association
